Date,Open,High,Low,Close,Adj Close,Volume,Return
2000/1/1,24.360001,29,21.719999,21.719999,21.719999,0,
2000/1/8,21.889999,23.49,19.51,19.66,19.66,0,-0.094843421
2000/1/15,21.389999,22.6,20.5,20.82,20.82,0,0.059003052
2000/1/22,21.43,26.540001,21.43,26.139999,26.139999,0,0.255523487
2000/1/29,26.780001,27.43,20.690001,21.540001,21.540001,0,-0.175975447
2000/2/5,22.969999,24.799999,21.17,24.42,24.42,0,0.133704683
2000/2/12,24.67,26.370001,22.629999,26,26,0,0.064701065
2000/2/19,25.91,28.120001,23.559999,25.200001,25.200001,0,-0.030769192
2000/2/26,25.9,26.190001,19.190001,19.209999,19.209999,0,-0.237698483
2000/3/4,20.379999,25.200001,20.33,21.24,21.24,0,0.105674186
2000/3/11,23.030001,24.76,20.49,22.370001,22.370001,0,0.053201554
2000/3/18,22.309999,23.959999,21.1,23.309999,23.309999,0,0.042020472
2000/3/25,24.35,25.870001,23.440001,24.110001,24.110001,0,0.034320122
2000/4/1,24.99,31.16,23.25,24.389999,24.389999,0,0.011613355
2000/4/8,25.440001,33.790001,24.969999,33.490002,33.490002,0,0.373103869
2000/4/15,33.700001,34.310001,25.77,25.85,25.85,0,-0.228127845
2000/4/22,27.790001,29.5,25.200001,26.200001,26.200001,0,0.013539691
2000/4/29,26.07,32.889999,25.26,27.530001,27.530001,0,0.050763357
2000/5/6,28.799999,30.6,25.610001,26.049999,26.049999,0,-0.053759606
2000/5/13,26.469999,26.700001,23.290001,25.440001,25.440001,0,-0.023416431
2000/5/20,26.25,27.9,23.85,24.469999,24.469999,0,-0.038129008
2000/5/27,24.59,24.780001,21.299999,21.48,21.48,0,-0.122190401
2000/6/3,23.059999,23.530001,21.99,22.139999,22.139999,0,0.03072621
2000/6/10,22.219999,23.389999,20.299999,20.5,20.5,0,-0.074074032
2000/6/17,21.16,22.82,20.34,22.34,22.34,0,0.089756098
2000/6/24,24.85,25.01,19.389999,19.540001,19.540001,0,-0.125335676
2000/7/1,20.51,21.65,19.17,19.219999,19.219999,0,-0.016376765
2000/7/8,20.200001,20.629999,19.209999,19.32,19.32,0,0.005202966
2000/7/15,20.02,20.129999,18.77,18.940001,18.940001,0,-0.019668685
2000/7/22,19.35,20.98,19.17,20.84,20.84,0,0.100316732
2000/7/29,20.98,21.17,18.530001,18.620001,18.620001,0,-0.106525864
2000/8/5,19.309999,19.360001,18.34,18.549999,18.549999,0,-0.003759506
